name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281256022 0 -54.173626 -47.921627 -147.29723 0 -0.37111753 2.097074 9.559362 0 0.011205973 -0.0693633 -0.37888637 104.73885405407032
281256055 0 -54.359787 -47.76363 -147.37376 0 -0.36308306 2.1342592 9.550358 0 0.0104566775 -0.067941055 -0.36248723 104.02684098404234
281256088 0 -54.473766 -47.601173 -147.43468 0 -0.35283953 2.1465156 9.549347 0 0.005554824 -0.06741828 -0.34955972 103.6969769980766
281256121 0 -54.60419 -47.440834 -147.45685 0 -0.33735675 2.148469 9.541914 0 -2.521439E-4 -0.06890224 -0.33668655 103.50357336153854
281256154 0 -54.74436 -47.286297 -147.48189 0 -0.30749694 2.1453717 9.519601 0 0.0011654836 -0.069226645 -0.32753417 103.36220893628678
281256187 0 -54.948498 -47.064827 -147.51186 0 -0.28803137 2.1513245 9.506064 0 0.004410483 -0.06886851 -0.3217941 103.02724279901099
281256220 0 -55.08793 -46.95379 -147.5382 0 -0.2654384 2.155384 9.490109 0 -1.21049816E-4 -0.07011456 -0.32134357 102.82760319976069
281256253 0 -55.211105 -46.793293 -147.57265 0 -0.23844711 2.1515 9.460998 0 -0.009157013 -0.07457863 -0.326058 102.66087828212068
281256286 0 -55.40728 -46.581398 -147.6265 0 -0.1827643 2.145606 9.418354 0 -0.019390628 -0.08023254 -0.33198577 102.46433958875355
281256319 0 -55.56816 -46.414757 -147.70016 0 -0.13635693 2.1474009 9.417381 0 -0.03074941 -0.086689495 -0.34073633 102.3205367859681
281256352 0 -55.775635 -46.239628 -147.73866 0 -0.08735682 2.1483948 9.442678 0 -0.046341002 -0.09675377 -0.36406162 102.2715848201866
281256385 0 -55.979946 -46.035217 -147.7806 0 -0.021472668 2.138185 9.46818 0 -0.058172736 -0.10595272 -0.39022213 102.3976837726434
281256418 0 -56.298687 -45.760372 -147.82431 0 0.08790862 2.1188502 9.493429 0 -0.06529682 -0.1125638 -0.42015672 102.67169047157682
281256451 0 -56.573128 -45.53298 -147.86302 0 0.15963998 2.1089177 9.528944 0 -0.068279594 -0.11694153 -0.45262098 102.82164044461524
281256484 0 -56.859283 -45.295532 -147.87906 0 0.2130336 2.0838559 9.574811 0 -0.07130456 -0.12133018 -0.50430775 103.19667247156235
